CDM,AIRPORT,PHASE,adherence_rate_cov70,adherence_rate_cov80,mean_buf_width_cov70,mean_buf_width_cov80,delta_adherence,delta_width
CDM,EDDB,ARR,0.6994122586062133,0.8001679261125105,28.03333333333333,37.33333333333334,0.10075566750629728,9.300000000000011
CDM,EDDB,DEP,0.6998313659359191,0.8001686340640809,25.404166666666665,34.25833333333333,0.1003372681281618,8.854166666666668
CDM,EDDF,ARR,0.7014688368400159,0.7999206034140532,31.25,41.446666666666744,0.09845176657403731,10.196666666666744
CDM,EDDF,DEP,0.7002388535031847,0.8005573248407644,21.095,29.910000000000018,0.10031847133757965,8.815000000000019
non-CDM,EDDC,ARR,0.7164179104477612,0.7910447761194029,23.1,32.8,0.07462686567164178,9.699999999999996
non-CDM,EDDC,DEP,0.746268656716418,0.8059701492537313,23.1,33.400000000000006,0.05970149253731338,10.300000000000004
non-CDM,EDDN,ARR,0.701195219123506,0.8007968127490039,25.499999999999993,31.18333333333334,0.09960159362549792,5.683333333333348
non-CDM,EDDN,DEP,0.7075098814229249,0.8023715415019763,22.086666666666662,31,0.09486166007905139,8.913333333333338
