CDM,AIRPORT,PHASE,coverage_target,n_flights,adherence_rate,mean_buf_width,median_buf_width
CDM,EDDF,ARR,0.9,2519,0.8999603017070266,56.42166666666667,56.42166666666667
CDM,EDDF,DEP,0.9,2512,0.8996815286624203,41.81416666666664,41.81416666666664
non-CDM,EDDC,ARR,0.9,67,0.8805970149253731,43.099999999999994,43.099999999999994
non-CDM,EDDC,DEP,0.9,67,0.9104477611940298,40.39999999999999,40.39999999999999
non-CDM,EDDN,ARR,0.9,251,0.896414342629482,50.391666666666666,50.391666666666666
non-CDM,EDDN,DEP,0.9,253,0.8972332015810277,47.54999999999998,47.54999999999998
CDM,EDDB,ARR,0.95,1191,0.9496221662468514,77.05416666666666,77.05416666666666
CDM,EDDB,DEP,0.95,1186,0.9494097807757167,66.09166666666667,66.09166666666667
CDM,EDDF,ARR,0.95,2519,0.9499801508535133,77.51333333333329,77.51333333333329
CDM,EDDF,DEP,0.95,2512,0.9498407643312102,59.99124999999998,59.99124999999998
non-CDM,EDDC,ARR,0.95,67,0.9552238805970149,46.74999999999997,46.74999999999997
non-CDM,EDDC,DEP,0.95,67,0.9402985074626866,79.44999999999986,79.44999999999986
non-CDM,EDDN,ARR,0.95,251,0.9442231075697212,68.57083333333333,68.57083333333333
non-CDM,EDDN,DEP,0.95,253,0.9446640316205533,68.84666666666664,68.84666666666664
