AIRPORT,PHASE,n,mean_dev,median_dev,sd_dev,p10,p90
EDDB,ARR,1191,0.8968933669185558,-2.783333333333333,18.68130435125333,-16.3,21.033333333333335
EDDB,DEP,1186,5.916666666666667,1.4249999999999998,16.617086676678714,-8.208333333333332,26.05
EDDC,ARR,67,0.5223880597014925,-2,12.687811150333298,-12.399999999999999,20.4
EDDC,DEP,67,2.582089552238806,-3,19.56972712661167,-11.399999999999999,22
EDDF,ARR,2519,-0.8929006219399233,-3.716666666666667,19.134062903647436,-20.14,21.306666666666743
EDDF,DEP,2512,7.005069002123142,3.283333333333333,15.364331202763603,-5.216666666666667,24.693333333333353
EDDN,ARR,251,0.10405046480743692,-1.85,17.36548294671226,-16,15.183333333333334
EDDN,DEP,253,3.754874835309618,1.85,16.8814074110233,-10,21
