AIRPORT,PHASE,q10_emp,q90_emp,n_early,shape_early,scale_early,q_weib_early_mag,lower_weib,n_late,shape_late,scale_late,q_weib_late,upper_weib,lower_hybrid_both,upper_hybrid_both
EDDB,ARR,-16.3,21.033333333333335,706,1.305944370262522,10.293104602502082,19.49420768118294,-19.49420768118294,483,0.920415994635763,15.212543101517037,37.64753822938467,37.64753822938467,-19.49420768118294,37.64753822938467
EDDB,DEP,-8.208333333333332,26.05,520,1.451628142527841,6.03012731663305,10.711498355631392,-10.711498355631392,663,0.9294960288254706,14.049930992619057,34.46391427141654,34.46391427141654,-10.711498355631392,34.46391427141654
EDDC,ARR,-12.399999999999999,20.4,38,1.6256831835324836,8.651026957640717,14.450269751975803,-14.450269751975803,28,NA,NA,NA,NA,-14.450269751975803,20.4
EDDC,DEP,-11.399999999999999,22,39,1.9833793232466228,8.169046223372526,12.439326804786035,-12.439326804786035,26,NA,NA,NA,NA,-12.439326804786035,22
EDDF,ARR,-20.14,21.306666666666743,1525,1.3166613788734398,12.758768541536611,24.038667300963855,-24.038667300963855,992,0.9628127432497434,15.403006497988814,36.627834828627904,36.627834828627904,-24.038667300963855,36.627834828627904
EDDF,DEP,-5.216666666666667,24.693333333333353,803,1.1780710940421881,4.542303088272053,9.220217377551394,-9.220217377551394,1705,0.8986429788116003,11.30758625624881,28.604840767380487,28.604840767380487,-9.220217377551394,28.604840767380487
EDDN,ARR,-16,15.183333333333334,137,1.266842643646293,10.850293162864421,20.958563080504113,-20.958563080504113,106,0.97402832643136394,12.556562692279003,29.562737351736697,29.562737351736697,-20.958563080504113,29.562737351736697
EDDN,DEP,-10,21,90,1.2604097594802053,10.01079469407075,19.402061019492916,-19.402061019492916,144,0.9199220060548307,11.457419250226108,28.368272527030385,28.368272527030385,-19.402061019492916,28.368272527030385
